Key,Type,Desc,Українська
action_RecruitPrisoner_info,Text,,"Поселенець з роллю наглядача за в'язнями щодня розмовлятиме з в'язнем, намагаючись переконати його приєднатися до вашого поселення."
action_ShrinkZone,Text,,"Зменшити зону"
action_ToggleForbid,Text,,"Заборонити/дозволити"
action_ToggleUrgent,Text,,"Термінове перенесення"
action_UrgentHaul,Text,,"Термінове перенесення"
action_abortgoal,Text,,"Скасувати дію"
action_allow,Text,,"Дозволити"
action_attack,Text,,"Атакувати"
action_attack_disabled,Text,,"Атака вимкнена"
action_attacking,Text,,"Атакує"
action_back_home,Text,,"Повернутися назад"
action_banish,Text,,"Вигнати"
action_banish_failed_no_path,Text,,"Вигнання скасовано. Цей поселенець не може дістатися до краю, щоб покинути територію."
action_cancel,Text,,"Скасувати"
action_caravan,Text,,"Відправити караван"
action_caravan_return,Text,,"Повернутися назад"
action_chopping,Text,,"Рубати"
action_copybuilding,Text,,"Копіювати"
action_cutallvegetation,Text,,"Вирубати"
action_cutting,Text,,"Вирізати"
action_deconstructing,Text,,"Демонтувати"
action_draft,Text,,"Викликати"
action_drafted,Text,,"Викликаний"
action_equipping,Text,,"Екіпірувати"
action_fishing,Text,,"Рибалити"
action_forbid,Text,,"Заборонити"
action_gift,Text,,"Подарувати"
action_harvesting,Text,,"Збирати"
action_hunting,Text,,"Полювати"
action_installbuilding,Text,,"Встановити"
action_list,Text,,"Дії"
action_mining,Text,,"Видобувати"
action_movebuilding,Text,,"Перемістити"
action_negative_1,Text,,"гаряче дискутував про"
action_negative_2,Text,,"підняв тему про"
action_negative_3,Text,,"бурчав про"
action_negative_4,Text,,"волів би уникнути обговорення"
action_neutral_1,Text,,"розпочав розмову про"
action_neutral_10,Text,,"мав багато що сказати про"
action_neutral_11,Text,,"поділився думками щодо"
action_neutral_2,Text,,"мав ідеї щодо"
action_neutral_3,Text,,"хотів обговорити"
action_neutral_4,Text,,"мав потребу поговорити про"
action_neutral_5,Text,,"розмовляв про"
action_neutral_6,Text,,"розпочав бесіду про"
action_neutral_7,Text,,"мав час на розмову про"
action_neutral_8,Text,,"дійшов до теми"
action_neutral_9,Text,,"говорив про"
action_positive_1,Text,,"з охотою обговорював"
action_positive_2,Text,,"почав приємну розмову про"
action_positive_3,Text,,"порозважався легкими жартами на тему"
action_releaseAnimal,Text,,"Випустити"
action_releasePrisoner,Text,,"Звільнити"
action_releasePrisoner_info,Text,,"Позначити в'язня для звільнення. Поселенець з роботою тюремника відведе в'язня до краю карти та звільнить його. Це може підвищити дружелюбність з фракцією в'язня."
action_shacklesOffPrisoner,Text,,"Зняти кайдани"
action_shacklesOnPrisoner,Text,,"Надіти кайдани"
action_shacklesOnPrisoner_info,Text,,"Позначити в'язня для закування в кайдани, щоб використовувати його як полоненого робітника або включити до каравану"
action_slaughterAnimal,Text,,"Забити"
action_stripPrisoner,Text,,"Роздягнути"
action_stripPrisoner_info,Text,,"Позначити в'язня для позбавлення всіх його речей"
action_tameAnimal,Text,,"Приручити"
action_trade,Text,,"Бартер"
action_trainAnimal,Text,,"Тренувати"
action_uninstallbuilding,Text,,"Розібрати"
action_verynegative_1,Text,,"вдався до тиради про"
action_verynegative_2,Text,,"вступив у конфлікт на тему"
action_verynegative_3,Text,,"гірко скаржився на"
action_verypositive_1,Text,,"тепло говорив про"
action_verypositive_2,Text,,"особливо цінував розмови про"
action_verypositive_3,Text,,"насолоджувався невеликими розмовами про"
action_verypositive_4,Text,,"міг годинами обговорювати"
active_productin_paused,Text,,"Активне виробництво призупинено"
add_conditions,Text,,"Додати умови"
add_new,Text,,"Додати новий"
add_new_profile_info,Text,,"Додати спеціальний профіль"
affection_level_0,Text,,"Суперник"
affection_level_1,Text,,"Знайомий"
affection_level_2,Text,,"Друг"
alc_treshold_01,Text,,"Задоволений"
alc_treshold_02,Text,,"Немає потреби в алкоголі"
alc_treshold_03,Text,,"Трохи бракує"
alc_treshold_04,Text,,"Бракує"
alc_treshold_05,Text,,"Позбавлений"
allbuildings_deconstruct,Text,,"Вибрати всі будівлі"
almanac_group_name_Animals,Text,,"Тварини"
almanac_group_name_Apparel,Text,,"Одяг"
almanac_group_name_Armor,Text,,"Броня"
almanac_group_name_Base,Text,,"Основа"
almanac_group_name_Basictutorials,Text,,"Основні підказки"
almanac_group_name_Books,Text,,"Книги"
almanac_group_name_Building,Text,,"Будівельний матеріал"
almanac_group_name_Carcases,Text,,"Труп"
almanac_group_name_Chemical,Text,,"Хімічні речовини"
almanac_group_name_Clothing,Text,,"Одяг"
almanac_group_name_Construction,Text,,"Будівництво"
almanac_group_name_Decoration,Text,,"Різне"
almanac_group_name_Defense,Text,,"Військова справа"
almanac_group_name_Equipment,Text,,"Обладнання"
almanac_group_name_Fermenting,Text,,"Інгредієнти для бродіння"
almanac_group_name_Fodder,Text,,"Корм"
almanac_group_name_Food,Text,,"Їжа"
almanac_group_name_Furniture,Text,,"Меблі"
almanac_group_name_Headware,Text,,"Головні убори"
almanac_group_name_Index,Text,,"Індекс"
almanac_group_name_Leisure,Text,,"Дозвілля"
almanac_group_name_Life,Text,,"Флора та фауна"
almanac_group_name_Manufactured,Text,,"Виготовлене"
almanac_group_name_Material,Text,,"Матеріали"
almanac_group_name_Meal,Text,,"Страва"
almanac_group_name_Medicine,Text,,"Медицина"
almanac_group_name_Melee,Text,,"Ближній бій"
almanac_group_name_Misc,Text,,"Різне"
almanac_group_name_Plants,Text,,"Рослини"
almanac_group_name_Produceable,Text,,"Вироблене"
almanac_group_name_Production,Text,,"Виробництво"
almanac_group_name_Ranged,Text,,"Дальній бій"
almanac_group_name_Raw,Text,,"Сировина"
almanac_group_name_Seeds,Text,,"Насіння"
almanac_group_name_Shields,Text,,"Щити"
almanac_group_name_Stimulants,Text,,"Стимулянти"
almanac_group_name_Systems,Text,,"Системи"
almanac_group_name_Textiles,Text,,"Текстиль"
almanac_group_name_Trophy,Text,,"Трофеї"
almanac_group_name_Tutorial,Text,,"Підказки"
almanac_group_name_Unrefined,Text,,"Необроблена сировина"
almanac_group_name_Warfare,Text,,"Військова справа"
almanac_group_name_Waste,Text,,"Відходи"
almanac_group_name_Zone,Text,,"Зона"
almanac_more_details,Text,,"Відкрити альманах для деталей"
already_has_operator,Text,,"Вже є оператор"
already_reserved_by_other_worker,Text,,"Вже закріплено за іншим поселенцем"
already_reserved_by_other_worker_will_cancel,Text,,"Інша істота або поселенець вже намагаються взаємодіяти з цією купою. Це скасує їхні дії."
already_working_on_building,Text,,"Цей поселенець вже працює над цією будівлею"
already_working_on_target,Text,,"Вже працює над цим"
always_open_door_info,Text,,"Будь-хто може пройти через ці двері. Це не сповільнює рух."
amount_met,Text,,"Кількість досягнута"
ancrene_disciples_archer_easy,Text,,"Лучник"
ancrene_disciples_archer_hard,Text,,"Майстер-лучник"
ancrene_disciples_archer_medium,Text,,"Досвідчений лучник"
ancrene_disciples_basic_easy,Text,,"Розбійник"
ancrene_disciples_basic_hard,Text,,"Безжальний розбійник"
ancrene_disciples_basic_medium,Text,,"Лютуватий розбійник"
ancrene_disciples_center,Text,,"ГЕРЕФОРД\nВежа Герефорд — це велика структура, що оточує колишню келію, а тепер гробницю візіонерки Анхорес Менвреди в абатстві Вігмор. Це стало місцем паломництва та центром влади для учнів Анхорес."
ancrene_disciples_heavy_easy,Text,,"Головоріз"
ancrene_disciples_heavy_hard,Text,,"Кривавий головоріз"
ancrene_disciples_heavy_medium,Text,,"Брутальний головоріз"
ancrene_disciples_info,Text,,"Група християнських містиків, що проповідують темні, видінні сновидіння анахоретки Менвреди з Вігмора, яку замурували в комірку на все життя у віці лише 15 років. Її складні містичні одкровення стали жорсткою доктриною в роки чуми. Прихильники часто спалюють людей живцем, звинувачуючи їх у змові з дияволом, що є причиною пошесті."
ancrene_disciples_name,Text,,"Анахоретські учні"
animal_cant_attend_event_prompt,Text,,"<animal_name> не може відвідати <event_name>, і це може негативно вплинути на результат. Ви хочете скасувати подію, щоб уникнути цієї неприємності?"
animal_haul_info,Text,,"Тварини, навчені тягати купи, час від часу випадково обиратимуть купи для перенесення."
animal_info_badger,Text,,"Ці нічні створіння зазвичай не лізуть у справи інших, але їдять усе підряд і можуть бути агресивними, якщо їх потривожити."
animal_info_bear,Text,,"Могутній хижак, колись зниклий з цих земель, але зараз знову небезпечний і смертельний. Мабуть, він утік з ведмежої ями."
animal_info_boar,Text,,"Жорстокий і безстрашний перед обличчям смерті. Кабан — це лютий суперник, гідний лицарського тренування."
animal_info_cat,Text,,"Корисний для знищення шкідників, але, можливо, у змові з дияволом. Використовується в катарських обрядах і як фамільяр відьом."
animal_info_chicken,Text,,"Наші пернаті друзі люб'язно забезпечують яйцями та м'ясом. Їм потрібен регулярний догляд та захист від хижаків."
animal_info_cow,Text,,"Рогата худоба, вирощена заради м’яса та молока. Найцінніша власність селянина."
animal_info_deer,Text,,"Мешканці лісів, улюбленці знаті, інколи їх навіть тримають як домашніх тварин."
animal_info_dog,Text,,"Чи то для охорони дому, чи для полювання — добре навчений пес є виправданим символом статусу."
animal_info_domestic,Text,,"Домашні тварини будуть вільно гуляти поселенням. Вони не можуть проходити через двері або ворота, якщо їх не ведуть на мотузці."
animal_info_domesticnpc,Text,,"Домашні тварини будуть вільно гуляти поселенням. Вони не можуть проходити через двері або ворота, якщо їх не ведуть на мотузці."
animal_info_donkey,Text,,"Упертий, повсюдний, працьовитий. Скромна тварина для перенесення важких вантажів."
animal_info_eel,Text,,"Смаколик на піст, наш слизький друг також смачний смаженим, приправлений спеціями та приготований у вержусі для створення спокусливого сарацинського бульйону."
animal_info_fish_pike,Text,,"Вам знадобиться міцна вудка, щоб зловити цього монстра. Подавайте зі смачним соусом галентин, приправленим корицею."
animal_info_fish_trout,Text,,"Поширена там, де чисті води і багато дрібних комах. Смачна в смаженому вигляді, нафарширована маслом і любистком."
animal_info_fox,Text,,"Старий Лис Рейнард — хитрий обманщик, який краде курей і турбує овець."
animal_info_goat,Text,,"Корисний для молока, м'яса та шкіри, козел їсть майже все і може вижити навіть на поганій землі."
animal_info_hare,Text,,"Полохливий, але швидкий, дикий заєць важко ловиться. Гідна здобич для котла та для хутра."
animal_info_london_pigs,Text,,"Коли Лондон занепав, здичавілі свині з лікарні Святого Антонія почали харчуватися людським м’ясом."
animal_info_mallard,Text,,"Плаваючі водоплавні птахи. Самиці коричневі, але самці мають яскраво-зелене і синє пір’я."
animal_info_pet,Text,,"Домашні тварини вільно гуляють поселенням. Вони можуть проходити через будь-які двері, які відчиняє поселенець."
animal_info_pheasant,Text,,"Найкраще полювати з навченою собакою. Фазан не надто розумний птах, але дуже смачний."
animal_info_pig,Text,,"Товсту свиню потрібно годувати жолудями в лісі. Може бути страчена за вбивство – бережіть своїх дітей."
animal_info_polecat,Text,,"Нічні хижаки, які харчуються кроликами, пацюками і птахами, ці стрункі ссавці вбивають швидким укусом у шию."
animal_info_rat,Text,,"Чути шарудіння й шкрябання, зіпсовані продукти та запаси. Ви відчуваєте запах щура."
animal_info_sheep,Text,,"Вівці перетворюють траву Англії на гроші. Найкраще їх тримати заради цінної вовни, а також вони дають м'ясо, молоко і шкіру."
animal_info_water_vole,Text,,"Блискучі очі, видні в крихітній норці на краю води. Бульк! І він зник."
animal_info_wild,Text,,"Дикі тварини блукають мапою і намагаються уникати вашого поселення. Іноді вони можуть забрести, коли голодні."
animal_info_wild_hound,Text,,"Покинуті собаки стають зграєю без господаря. Голодні, дикі та люто агресивні."
animal_info_wildaggressive,Text,,"Агресивні дикі тварини нападатимуть на ваших поселенців при зустрічі. Вони також можуть нападати на інших тварин."
animal_info_wolf,Text,,"Незважаючи на всі спроби Едуарда I їх винищити, вовки повернулися і тепер переслідують англійські ліси. Остерігайтеся."
animal_is_domestic_message,Text,,"<settler> успішно приручив: <animal>"
animal_is_pet_message,Text,,"<settler> успішно тренував: <animal>"
animal_life_phase,Text,,"Вік"
animal_name_badger,Text,,"Борсук"
animal_name_bear,Text,,"Ведмідь"
animal_name_boar,Text,,"Кабан"
animal_name_cat,Text,,"Кіт"
animal_name_chicken,Text,,"Курка"
animal_name_cow,Text,,"Корова"
animal_name_deer,Text,,"Олень"
animal_name_dog,Text,,"Собака"
animal_name_donkey,Text,,"Осел"
animal_name_eel,Text,,"Вугор"
animal_name_fish_pike,Text,,"Щука"
animal_name_fish_trout,Text,,"Форель"
animal_name_fox,Text,,"Лисиця"
animal_name_goat,Text,,"Козел"
animal_name_hare,Text,,"Заєць"
animal_name_hound,Text,,"Дикий Пес"
animal_name_london_pigs,Text,,"Лондонські Свині"
animal_name_mallard,Text,,"Крижень"
animal_name_pheasant,Text,,"Фазан"
animal_name_pig,Text,,"Свиня"
animal_name_polecat,Text,,"Тхір"
animal_name_rat,Text,,"Щур"
animal_name_sheep,Text,,"Вівця"
animal_name_water_vole,Text,,"Водяна полівка"
animal_name_wolf,Text,,"Вовк"
animal_pen_disabled_outside,Text,,"Цей маркер загону повинен бути в огородженій зоні, щоб працювати."
animal_pen_panel_description,Text,,"Виберіть, який тип тварин тримати в цьому загоні."
animal_pen_panel_title,Text,,"Загін для тварин"
animal_pest_control,Text,,"Контроль шкідників"
animal_pest_control_info,Text,,"Деяких тварин можна натренувати для боротьби з шкідливими істотами, такими як щури, які завдають шкоди навколо поселення."
animal_roped_to,Text,,"Прив'язано до"
animal_storage_capacity,Text,,"Кількість зберігання"
animal_type_DomesticNpc,Text,,"Приручений"
animal_type_domestic,Text,,"Приручений"
animal_type_pet,Text,,"Навчений"
animal_type_wild,Text,,"Дика"
animal_type_wildAggressive,Text,,"Дика Агресивна"
animal_type_with_name,Text,,"<name> the <animal>"
animals_domestic,Text,,"Свійські"
animals_wildlife,Text,,"Дика природа"
armor_damage,Text,,"Пошкодження броні"
armor_hitpoints_percentage,Text,,"Процентне значення точок броні"
armor_rating,Text,,"Рейтинг броні"
assign_role_info,Text,,"Призначте роль у громаді для цього поселенця"
assigned_to,Text,,"Призначено до"
assigned_to_info,Text,,"Виберіть поселенця, якому ви хочете призначити домашню тварину. Лише одна тварина на кожного поселенця."
atb_info_AffectionNegativeMultiplier,Text,,"Множить інтенсивність негативної соціальної взаємодії"
atb_info_AffectionPositiveMultiplier,Text,,"Множить інтенсивність позитивної соціальної взаємодії"
atb_info_AgentBeautyInput,Text,,"Кількість краси, яку ця істота приносить світу. Це число комбінується з естетичною цінністю оснащених предметів."
atb_info_AnimalCritChance,Text,,"Ймовірність критичного удару під час полювання."
atb_info_AnimalHarvestYeald,Text,,"Кількість ресурсів, отриманих від живих тварин."
atb_info_AnimalTameChance,Text,,"Ймовірність успішного приручення (поселенець, який намагається приручити цю тварину, також збільшує цю ймовірність)"
atb_info_AnimalTrainChance,Text,,"Ймовірність успішного навчання (поселенець, який намагається навчити цю тварину, також збільшує цю ймовірність)"
atb_info_AttackCritChance,Text,,"Ймовірність критичного удару будь-якою зброєю в бою."
atb_info_BeingRecruitedChance,Text,,"Ймовірність успішного набору протягом дня. Це також множиться на шанс набору поселенця, який намагається залучити нового рекрута."
atb_info_BloodLoss,Text,,"Кількість крові, яку втрачає на годину."
atb_info_BloodRecovery,Text,,"Відновлення крові: базова швидкість відновлення крові поселенця +/- множники"
atb_info_ButcheringYield,Text,,"Кількість ресурсів, отриманих від обробки тварин."
atb_info_Clumsiness,Text,,"Множник, що вказує на ймовірність невдачі. Чим менше число, тим менше цей поселенець буде зазнавати невдач у своїх діях."
atb_info_CombatPerception,Text,,"Дальність, на якій цей поселенець помітить і вступить у боротьбу з ворогами, коли знаходиться в агресивному режимі."
atb_info_ConsciousnessLoss,Text,,"Втрата свідомості на годину."
atb_info_ConsciousnessMax,Text,,"Максимальна свідомість поселенця (може бути знижена, якщо він отримав поранення голови)."
atb_info_ConsciousnessStep,Text,,"Множник, що вказує, як швидко цей поселенець відновлює свідомість."
atb_info_ConstructionFail,Text,,"Ймовірність того, що будівництво не вдасться, що призведе до скидання часу будівництва."
atb_info_ConstructionSpeed,Text,,"Швидкість будівництва цього поселенця."
atb_info_ConsumptionSpeed,Text,,"Час, необхідний для споживання їжі, у годинах. Поселенці з певними perk'ами їдять швидше."
atb_info_ConversationAvailablityChance,Text,,"Ймовірність вступити в соціальні взаємодії."
atb_info_ConversationInteractionHoursCooldown,Text,,"Кількість годин між соціальними взаємодіями."
atb_info_CookingAmount,Text,,"Кількість ресурсів, що виробляються під час приготування їжі."
atb_info_CookingSpeed,Text,,"Швидкість приготування їжі та підготовки їжі цього поселенця."
atb_info_CourteousAmount,Text,,"(повинно бути приховане)"
atb_info_CraftingMiscSpeed,Text,,"Швидкість виготовлення базових предметів цього поселенця."
atb_info_CutAmount,Text,,"Кількість ресурсів, які цей поселенець отримує під час збирання рослин."
atb_info_CutFail,Text,,"Ймовірність того, що збирання рослин цього поселенця не вдасться, втрачаючи всі ресурси."
atb_info_CutSpeed,Text,,"Швидкість збирання рослин цього поселенця."
atb_info_CuttingStone,Text,,"Швидкість рубки каміння цього поселенця."
atb_info_DecomposeSpeed,Text,,"Швидкість розкладу цього ресурсу."
atb_info_EvadeChance,Text,,"Ймовірність уникнення вхідної атаки."
atb_info_GlobalWorkSpeed,Text,,"Множник швидкості всіх робочих дій."
atb_info_GlobalXPgain,Text,,"Кількість досвіду, яку цей поселенець отримує від кожної діяльності."
atb_info_HarvestAmount,Text,,"Кількість ресурсів, які цей поселенець отримує під час збору урожаю."
atb_info_HarvestAnimalSpeed,Text,,"Швидкість збору ресурсів з тварин (наприклад, доїння кіз чи стрижка овець)."
atb_info_HarvestFail,Text,,"Ймовірність того, що збір урожаю цього поселенця не вдасться, втрачаючи всі ресурси."
atb_info_HarvestSpeed,Text,,"Швидкість збору врожаю цього поселенця."
atb_info_HealthLoss,Text,,"Кількість очок здоров'я, що втрачаються на годину."
atb_info_HealthMax,Text,,"Максимальні очки здоров'я: базові очки здоров'я +/- множники."
atb_info_HealthRecovery,Text,,"Відновлення здоров'я: базова швидкість відновлення здоров'я +/- множники."
atb_info_Hunger,Text,,"Кількість харчування, яку цей поселенець споживає на годину."
atb_info_HungerThreshold,Text,,"Поріг голоду: базовий голод поселенця +/- множники. (Наприклад: perk на -10% означає, що поріг голоду буде знижено на 10%, і цей поселенець буде голодніти пізніше за інших.)"
atb_info_HuntingRetaliateChance,Text,,"Ймовірність того, що здобич відповість нападом."
atb_info_HuntingRunChance,Text,,"Ймовірність того, що здобич втече."
atb_info_HuntingVisibility,Text,,"Ймовірність того, що тварина побачить цього поселенця під час полювання."
atb_info_MakeClayBrick,Text,,"Швидкість виготовлення глиняних цеглин цього поселенця."
atb_info_MakeClothesSpeed,Text,,"Швидкість виготовлення одягу цього поселенця."
atb_info_MeleeAttackSpeed,Text,,"Тривалість ближньої атаки: базова тривалість ближнього бою +/- множники."
atb_info_MeleeChance,Text,,"Ймовірність влучити в ціль ближньою зброєю."
atb_info_MeleeDmg,Text,,"Професіоналізм в ближньому бою (вищий рівень навички ближнього бою підвищує цей множник, а покарання, як поранення, знижують його)."
atb_info_MineAmount,Text,,"Кількість ресурсів, які цей поселенець отримує від копання та видобутку."
atb_info_MineFail,Text,,"Ймовірність того, що поселенець зіпсує ресурси під час копання та видобутку."
atb_info_MineSpeed,Text,,"Швидкість видобутку та копання."
atb_info_MoodChangeSpeed,Text,,"Швидкість зміни настрою цього поселенця."
atb_info_MoodTarget,Text,,"Ціль настрою. Це змінюється в залежності від позитивних та негативних подій. (Поселенці з оптимістичними perk'ами краще справляються з низьким настроєм, ніж песимісти.)"
atb_info_MotorFunction,Text,,"Рівень моторної функції поселенця. Впливає на тривалість усіх фізичних дій."
atb_info_MovementSpeed,Text,,"Швидкість руху, що представлена в клітинках на секунду."
atb_info_NegotiationChance,Text,,"Ймовірність успіху переговорів. Наприклад, при пропонуванні ресурсів замість поселенця під час викупу."
atb_info_NegotiationMultiplier,Text,,"Цей множник впливає на вартість, яку вимагають переговорники. Чим нижчий множник, тим менша сума, яку ваше поселення пропонує іншій фракції під час вимагання або переговорів про втечу."
atb_info_PainMax,Text,,"Максимальний біль, який цей поселенець може витримати."
atb_info_PainStep,Text,,"Множник, що вказує, як швидко зменшується біль цього поселенця."
atb_info_PainTreshold,Text,,"Поріг болю: базовий біль поселенця +/- множники (наприклад, perk, що знижує його на -10%, дозволяє цьому поселенцю витримувати більше болю в бою)."
atb_info_RangedChance,Text,,"Ймовірність влучити в ціль з далекобійної зброї."
atb_info_RangedDmg,Text,,"Професіоналізм з далекобійною зброєю (вищий рівень навички дальнього бою підвищує цей множник, а покарання, як поранення, знижують його)."
atb_info_RangedRange,Text,,"Множник дальності далекобійної атаки. (Це змінюється в залежності від погоди та часу доби.)"
atb_info_RangedSpeed,Text,,"Тривалість атаки дальнобійною зброєю: базова тривалість атаки дальньою зброєю +/- множники."
atb_info_RareChance,Text,,"Ймовірність вироблення предметів вищої якості збільшена."
atb_info_RecruitChance,Text,,"Ймовірність того, що спроба набору на день буде успішною чи ні. Це також множиться на шанс набору ув'язненого, якого намагаються зарахувати."
atb_info_ResearchSpeed,Text,,"Швидкість досліджень цього поселенця."
atb_info_RottingSpeed,Text,,"Швидкість розкладу цього ресурсу."
atb_info_SleepDepletionSpeed,Text,,"Множник виснаження сну."
atb_info_SleepNeed,Text,,"Рівень виснаження сну. (Поселенці втрачають 4% сну на годину.)"
atb_info_SleepRecoverSpeed,Text,,"Швидкість відновлення сну цього поселенця під час сну або непритомності."
atb_info_SleepThreshold,Text,,"Множник порогів сну. (Наприклад: якщо perk зменшує на -10%, пороги сну зміщуються на 10%, і цей поселенець ляже спати пізніше за інших.)"
atb_info_SmithingSpeed,Text,,"Швидкість ковальства цього поселенця."
atb_info_SocialCompatibilityNegative,Text,,"Множить ймовірність того, що відбудеться негативна соціальна взаємодія."
atb_info_SocialCompatibilityPositive,Text,,"Множить ймовірність того, що відбудеться позитивна соціальна взаємодія."
atb_info_SowSpeed,Text,,"Швидкість сівби цього поселенця."
atb_info_SqueamishAmount,Text,,"(повинно бути приховано)"
atb_info_TameAnimalSpeed,Text,,"Швидкість приручення тварин цього поселенця."
atb_info_TameChanceMultiplier,Text,,"Ймовірність того, що цей поселенець успішно приручить дику тварину."
atb_info_TendingFailChance,Text,,"Ймовірність того, що обробка ран не вдасться, погіршуючи рани."
atb_info_TendingQuality,Text,,"Множник, що вказує на якість обробки ран. (Це також залежить від якості набору для загоєння та трав.)"
atb_info_TendingSpeed,Text,,"Швидкість, з якою цей поселенець обробляє рани."
atb_info_TradingBargain,Text,,"Цінність, яку цей поселенець може отримати від торговця, не даючи еквівалентну суму назад."
atb_info_TradingValue,Text,,"Це компенсує запропоновану цінність на XX%."
atb_info_TrainAnimalSpeed,Text,,"Швидкість тренування тварин цього поселенця."
atb_info_TrainChanceMultiplier,Text,,"Ймовірність того, що цей поселенець успішно навчає приручену тварину."
atb_info_UnarmedArmorDamage,Text,,"Відсоток шкоди, яку завдає непідготовлений поселенець броні цілі."
atb_info_UnarmedBuildingDamage,Text,,"Відсоток шкоди, яку завдає непідготовлений поселенець будівлі або запасу ресурсів."
atb_info_UnarmedDamage,Text,,"Базова шкода, яку цей поселенець завдає без зброї."
atb_info_UnarmedIgnoreArmor,Text,,"Відсоток шкоди, яку завдає непідготовлений поселенець озброєній цілі."
atb_info_UnarmedPrecision,Text,,"Ймовірність влучити в ціль без зброї."
atb_info_UnarmedSpeed,Text,,"Час між ударами."
atb_info_WoodWorkingSpeed,Text,,"Швидкість обробки деревини цього поселенця."
atb_info_WoundRegen,Text,,"Швидкість відновлення цього поселенця після поранення."
atb_info_XpCapMultiplier,Text,,"Максимальна кількість досвіду на день для кожної навички. Цей множник встановлює ліміт."
atb_info_XpDecayMultiplier,Text,,"XP повільно зменшується з часом, і рівень зниження варіюється для кожного поселенця. XP не буде зменшуватися нижче останнього рівня, отриманого в даній навичці."
atb_info_fishing_failed,Text,,"Ймовірність того, що риболовля не вдасться, і ресурси від цього улову будуть втрачені."
atb_info_fishing_yeald,Text,,"Кількість риби, що спіймана під час риболовлі."
atb_info_recruitPrisonerChance,Text,,"Ймовірність того, що ви зможете успішно завербувати ув'язненого як нового поселенця."
atb_name_AffectionNegativeMultiplier,Text,,"Негативна соціальна взаємодія"
atb_name_AffectionPositiveMultiplier,Text,,"Позитивна соціальна взаємодія"
atb_name_AgentBeautyInput,Text,,"Естетична цінність"
atb_name_AgentFireDamageMultiplier,Text,,"Множник шкоди від полум'я"
atb_name_AgentFlammability,Text,,"Займистість"
atb_name_AnimalCritChance,Text,,"Ймовірність критичного удару тварини"
atb_name_AnimalHarvestYeald,Text,,"Врожай тварин"
atb_name_AnimalTameChance,Text,,"Ймовірність приручити тварину"
atb_name_AnimalTrainChance,Text,,"Ймовірність тренування тварини"
atb_name_AttackCritChance,Text,,"Ймовірність критичного удару при атаці"
atb_name_BeingRecruitedChance,Text,,"Ймовірність успішного прийому до лав поселенців"
atb_name_BloodLoss,Text,,"Втрата крові"
atb_name_BloodRecovery,Text,,"Відновлення крові"
